output,time
0.0,0.0,0.0
1.875E-4,0.075,0.005
7.5E-4,0.15,0.01
0.0016874999999999998,0.22499999999999998,0.015
0.003,0.3,0.02
0.004687500000000001,0.375,0.025
0.006750000000000001,0.45,0.030000000000000002
0.009187500000000001,0.525,0.035
0.012,0.6,0.04
0.015187499999999998,0.6749999999999999,0.045
0.018749999999999996,0.7499999999999999,0.049999999999999996
0.022687499999999996,0.825,0.05499999999999999
0.026999999999999993,0.8999999999999999,0.05999999999999999
0.03168749999999999,0.9749999999999999,0.06499999999999999
0.03674999999999999,1.0499999999999998,0.06999999999999999
0.042187499999999996,1.125,0.075
0.048,1.2,0.08
0.054187500000000006,1.2750000000000001,0.085
0.06075000000000001,1.35,0.09000000000000001
0.06768750000000003,1.4250000000000003,0.09500000000000001
0.07500000000000002,1.5000000000000002,0.10000000000000002
0.08268750000000004,1.5750000000000004,0.10500000000000002
0.09075000000000004,1.6500000000000004,0.11000000000000003
0.09918750000000005,1.7250000000000005,0.11500000000000003
0.10800000000000007,1.8000000000000005,0.12000000000000004
0.11718750000000006,1.8750000000000004,0.12500000000000003
0.12675000000000006,1.9500000000000004,0.13000000000000003
0.13668750000000007,2.0250000000000004,0.13500000000000004
0.14700000000000008,2.1000000000000005,0.14000000000000004
0.1576875000000001,2.1750000000000007,0.14500000000000005
0.16875000000000012,2.250000000000001,0.15000000000000005
0.1801875000000001,2.3250000000000006,0.15500000000000005
0.19200000000000014,2.400000000000001,0.16000000000000006
0.20418750000000016,2.475000000000001,0.16500000000000006
0.2167500000000002,2.550000000000001,0.17000000000000007
0.22968750000000018,2.625000000000001,0.17500000000000007
0.2430000000000002,2.700000000000001,0.18000000000000008
0.25668750000000023,2.7750000000000012,0.18500000000000008
0.27075000000000027,2.8500000000000014,0.19000000000000009
0.28518750000000026,2.925000000000001,0.1950000000000001
0.30000000000000027,3.0000000000000013,0.2000000000000001
0.3151875000000003,3.0750000000000015,0.2050000000000001
0.3307500000000003,3.1500000000000017,0.2100000000000001
0.3466875000000003,3.2250000000000014,0.2150000000000001
0.3630000000000004,3.3000000000000016,0.2200000000000001
0.3796875000000004,3.3750000000000018,0.22500000000000012
0.39675000000000044,3.450000000000002,0.23000000000000012
0.41418750000000043,3.5250000000000017,0.23500000000000013
0.43200000000000044,3.600000000000002,0.24000000000000013
0.4501875000000005,3.675000000000002,0.24500000000000013
0.46875000000000044,3.7500000000000018,0.2500000000000001
0.4876875000000005,3.825000000000002,0.2550000000000001
0.5070000000000005,3.9000000000000017,0.2600000000000001
0.5266875000000005,3.975000000000002,0.2650000000000001
0.5467500000000005,4.050000000000002,0.27000000000000013
0.5671875000000005,4.125000000000002,0.27500000000000013
0.5880000000000005,4.200000000000002,0.28000000000000014
0.6091875000000007,4.275000000000002,0.28500000000000014
0.6307500000000007,4.350000000000002,0.29000000000000015
0.6526875000000008,4.4250000000000025,0.29500000000000015
0.6750000000000007,4.500000000000003,0.30000000000000016
0.6976875000000008,4.575000000000003,0.30500000000000016
0.7207500000000007,4.650000000000002,0.31000000000000016
0.7441875000000008,4.725000000000002,0.31500000000000017
0.7680000000000008,4.8000000000000025,0.3200000000000002
0.7921875000000008,4.875000000000003,0.3250000000000002
0.8167500000000009,4.950000000000003,0.3300000000000002
0.8416875000000009,5.025000000000003,0.3350000000000002
0.867000000000001,5.100000000000003,0.3400000000000002
